time_ind,spatial_ind,n_i,v_i,T_e,n_nI
0,0,1.26479e+17,-1484.81,3.00074,3.62314e+19,6.8793
0,1,2.55745e+17,-1475.94,3.15979,3.78239e+19,6.8793
0,2,2.81005e+17,-1455.6,3.18447,3.78255e+19,6.8793
0,3,3.09268e+17,-1425.03,3.20606,3.78256e+19,6.8793
0,4,3.40893e+17,-1382.47,3.22666,3.78256e+19,6.8793
0,5,3.75951e+17,-1327.92,3.24674,3.78256e+19,6.8793
0,6,4.14444e+17,-1261.39,3.26655,3.78256e+19,6.8793
0,7,4.56295e+17,-1182.9,3.28623,3.78256e+19,6.8793
0,8,5.01336e+17,-1092.44,3.30612,3.78257e+19,6.8793
0,9,5.49308e+17,-990.032,3.32656,3.78257e+19,6.8793
0,10,5.99848e+17,-875.673,3.34791,3.78257e+19,6.8793
0,11,6.52492e+17,-749.374,3.37057,3.78257e+19,6.8793
0,12,7.06675e+17,-611.141,3.39497,3.78256e+19,6.8793
0,13,7.61741e+17,-460.983,3.4216,3.78254e+19,6.8793
0,14,8.16946e+17,-298.907,3.45101,3.78249e+19,6.8793
0,15,8.71482e+17,-124.922,3.48385,3.78233e+19,6.8793
0,16,9.24485e+17,60.9637,3.52085,3.78193e+19,6.8793
0,17,9.75065e+17,258.743,3.56286,3.78087e+19,6.8793
0,18,1.02232e+18,468.409,3.61083,3.77809e+19,6.8793
0,19,1.06539e+18,689.96,3.66587,3.77084e+19,6.8793
0,20,1.10343e+18,923.403,3.72924,3.75205e+19,6.8793
0,21,1.13569e+18,1168.77,3.80243,3.70386e+19,6.8793
0,22,1.16151e+18,1426.15,3.88738,3.58369e+19,6.8793
0,23,1.18036e+18,1695.75,3.98675,3.30408e+19,6.8793
0,24,1.19183e+18,1978,4.10418,2.74634e+19,6.8793
0,25,1.19567e+18,2273.31,4.24298,1.91109e+19,6.8793
0,26,1.19181e+18,2581.42,4.40204,1.07557e+19,6.8793
0,27,1.18034e+18,2901,4.57528,5.1727e+18,6.8793
0,28,1.16152e+18,3231.39,4.76081,2.37225e+18,6.8793
0,29,1.13576e+18,3572.9,4.96212,1.16824e+18,6.8793
0,30,1.10358e+18,3926.04,5.18286,6.85244e+17,6.8793
0,31,1.06564e+18,4291.15,5.42524,4.96905e+17,6.8793
0,32,1.02269e+18,4668.4,5.69037,4.24272e+17,6.8793
0,33,9.75556e+17,5057.94,5.97878,3.96372e+17,6.8793
0,34,9.25116e+17,5459.88,6.29069,3.85662e+17,6.8793
0,35,8.72261e+17,5874.34,6.62626,3.81541e+17,6.8793
0,36,8.17877e+17,6301.45,6.98581,3.79943e+17,6.8793
0,37,7.62821e+17,6741.35,7.37004,3.79309e+17,6.8793
0,38,7.07899e+17,7194.21,7.78045,3.79043e+17,6.8793
0,39,6.53846e+17,7660.2,8.21968,3.78917e+17,6.8793
0,40,6.01315e+17,8139.5,8.69214,3.78845e+17,6.8793
0,41,5.50867e+17,8632.3,9.20458,3.78793e+17,6.8793
0,42,5.0296e+17,9138.78,9.76671,3.7875e+17,6.8793
0,43,4.57956e+17,9659.1,10.3918,3.7871e+17,6.8793
0,44,4.16113e+17,10193.4,11.0968,3.78673e+17,6.8793
0,45,3.77597e+17,10741.8,11.9026,3.78638e+17,6.8793
0,46,3.42487e+17,11304.2,12.8328,3.78605e+17,6.8793
0,47,3.10781e+17,11880.7,13.9119,3.78575e+17,6.8793
0,48,2.82415e+17,12470.9,15.1621,3.78547e+17,6.8793
0,49,2.57263e+17,13074.6,16.5991,3.78522e+17,6.8793
0,50,2.49989e+17,7255.98,22.559,3.78499e+17,6.8793
0,51,2.15417e+17,6819.8,11.7064,3.78246e+17,6.8793
0,52,1.98877e+17,7112.01,11.9162,3.78247e+17,6.8793
0,53,1.84727e+17,7404.07,12.0964,3.78248e+17,6.8793
0,54,1.72724e+17,7695.9,12.2418,3.78248e+17,6.8793
0,55,1.62626e+17,7987.47,12.3471,3.78249e+17,6.8793
0,56,1.54202e+17,8278.71,12.4072,3.78249e+17,6.8793
0,57,1.47232e+17,8569.6,12.419,3.7825e+17,6.8793
0,58,1.41511e+17,8860.14,12.3808,3.7825e+17,6.8793
0,59,1.36854e+17,9150.31,12.2936,3.78251e+17,6.8793
0,60,1.33092e+17,9440.13,12.1606,3.78251e+17,6.8793
0,61,1.30079e+17,9729.62,11.9867,3.78251e+17,6.8793
0,62,1.27683e+17,10018.8,11.7786,3.78252e+17,6.8793
0,63,1.25794e+17,10307.7,11.5434,3.78252e+17,6.8793
0,64,1.24316e+17,10596.4,11.2884,3.78252e+17,6.8793
0,65,1.23169e+17,10885,11.0209,3.78252e+17,6.8793
0,66,1.22285e+17,11173.3,10.7473,3.78252e+17,6.8793
0,67,1.21609e+17,11461.5,10.4733,3.78253e+17,6.8793
0,68,1.21096e+17,11749.6,10.2035,3.78253e+17,6.8793
0,69,1.2071e+17,12037.6,9.94149,3.78253e+17,6.8793
0,70,1.20422e+17,12325.5,9.69017,3.78253e+17,6.8793
0,71,1.20208e+17,12613.4,9.45142,3.78253e+17,6.8793
0,72,1.20051e+17,12901.2,9.22641,3.78253e+17,6.8793
0,73,1.19937e+17,13189,9.01572,3.78253e+17,6.8793
